[2026-08-24T12:08:16.208Z] GET https://fonts.googleapis.com/css2?family=IBM+Plex+Mono:wght@400;600&family=IBM+Plex+Sans:wght@300;400;500;600&family=Libre+Baskerville:wght@400;700&display=swap → 200 (?ms, -743B)
[2026-08-24T12:08:16.211Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (1ms, -814B)
[2026-08-24T12:08:16.212Z] GET https://fonts.gstatic.com/s/ibmplexsans/v23/zYXzKVElMYYaJe8bpLHnCwDKr932-G7dytD-Dmu1syxeKYbSB4Zh.woff2 → 200 (4ms, -815B)
[2026-08-24T12:08:16.216Z] GET https://fonts.gstatic.com/s/librebaskerville/v24/kmKnZrc3Hgbbcjq75U4uslyuy4kn0qNZaxMaC82U.woff2 → 200 (?ms, -815B)
[2026-08-24T12:08:16.221Z] GET https://southeastaksupply.com/new_logo_kurt.jpg → 304 (73ms, 42B)
[2026-08-24T12:08:17.551Z] GET https://southeastaksupply.com/about → 307 (127ms, ?B)
[2026-08-24T12:08:17.679Z] GET https://southeastaksupply.com/login?redirect=%2Fabout → 200 (105ms, 2353B)
[2026-08-24T12:08:17.807Z] GET https://southeastaksupply.com/_next/static/chunks/05367awialsbn.css → 200 (1ms, -441B)
[2026-08-24T12:08:17.808Z] GET https://southeastaksupply.com/_next/static/chunks/1gdoryk6w2r8v.js → 200 (?ms, -455B)
[2026-08-24T12:08:17.813Z] GET https://southeastaksupply.com/_next/static/chunks/27jktro2p5rq9.js → 200 (?ms, -455B)
[2026-08-24T12:08:17.813Z] GET https://southeastaksupply.com/_next/static/chunks/0wgbl93fstlu9.js → 200 (?ms, -456B)
[2026-08-24T12:08:17.818Z] GET https://southeastaksupply.com/_next/static/chunks/2t2clertbxtfc.js → 200 (?ms, -456B)
[2026-08-24T12:08:17.818Z] GET https://southeastaksupply.com/_next/static/chunks/turbopack-2vj4-1z_ftx_p.js → 200 (1ms, -455B)
[2026-08-24T12:08:17.823Z] GET https://southeastaksupply.com/_next/static/chunks/05-c3ty_6dwfk.js → 200 (?ms, -454B)
[2026-08-24T12:08:17.823Z] GET https://southeastaksupply.com/_next/static/chunks/14mrh2-p_w84d.js → 200 (?ms, -455B)
[2026-08-24T12:08:17.828Z] GET https://southeastaksupply.com/_next/static/chunks/3i_xkm9s1hitb.js → 200 (?ms, -454B)
[2026-08-24T12:08:17.828Z] GET https://fonts.googleapis.com/css2?family=IBM+Plex+Mono:wght@400;600&family=IBM+Plex+Sans:wght@300;400;500;600&family=Libre+Baskerville:wght@400;700&display=swap → 200 (3ms, -743B)
[2026-08-24T12:08:17.862Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, -814B)
[2026-08-24T12:08:17.862Z] GET https://fonts.gstatic.com/s/ibmplexsans/v23/zYXzKVElMYYaJe8bpLHnCwDKr932-G7dytD-Dmu1syxeKYbSB4Zh.woff2 → 200 (1ms, -815B)
[2026-08-24T12:08:17.885Z] GET https://fonts.gstatic.com/s/librebaskerville/v24/kmKnZrc3Hgbbcjq75U4uslyuy4kn0qNZaxMaC82U.woff2 → 200 (?ms, -815B)
[2026-08-24T12:08:17.891Z] GET https://southeastaksupply.com/new_logo_kurt.jpg → 304 (95ms, 19B)
